"site","year","sp","ab"
607,2002,"Physalaemus_gracilis",30
607,2002,"Rhinella_fernandezae",59
607,2002,"Physalaemus_cuvieri",167
607,2002,"Leptodactylus_ocellatus",170
622,2005,"Rana_sphenocephala",3
622,2005,"Hyla_cinerea",5
622,2005,"Acris_gryllus",26
622,2005,"Rana_clamitans",227
624,2005,"Hyla_cinerea",3
624,2005,"Hyla_cinerea",3
624,2005,"Hyla_versicolor",4
624,2005,"Hyla_versicolor",4
624,2005,"Hyla_femoralis",4
624,2005,"Hyla_femoralis",4
624,2005,"Plethodon_chlorobryonis",5
624,2005,"Plethodon_chlorobryonis",5
624,2005,"Amphiuma_means",6
624,2005,"Amphiuma_means",6
624,2005,"Rana_catesbeiana",9
624,2005,"Rana_catesbeiana",9
624,2005,"Acris_gryllus",38
624,2005,"Acris_gryllus",38
624,2005,"Rana_sphenocephala",46
624,2005,"Rana_sphenocephala",46
624,2005,"Bufo_terrestris",96
624,2005,"Bufo_terrestris",96
624,2005,"Rana_clamitans",521
624,2005,"Rana_clamitans",521
650,2006,"Leptodactylus_diptyx",1
650,2006,"Rhinella_schneideri",1
650,2006,"Leptodactylus_gracilis",1
650,2006,"Scinax_nasicus",1
650,2006,"Elachistocleis_bicolor",2
650,2006,"Pseudopaludicola_mystacalis",3
650,2006,"Lysapsus_limellus",5
650,2006,"Physalaemus_albonotatus",8
650,2006,"Leptodactylus_ocellatus",11
650,2006,"Leptodactylus_podicipinus",16
651,2006,"Elachistocleis_bicolor",1
651,2006,"Physalaemus_biligonigerus",1
651,2006,"Physalaemus_riograndensis",1
651,2006,"Physalaemus_santafecinus",1
651,2006,"Leptodactylus_podicipinus",2
651,2006,"Lysapsus_limellus",3
651,2006,"Rhinella_schneideri",6
651,2006,"Physalaemus_albonotatus",9
651,2006,"Leptodactylus_ocellatus",10
651,2006,"Pseudopaludicola_mystacalis",12
667,2002,"Hyla_cinerea",1
667,2002,"Hyla_cinerea",1
667,2002,"Eurycea_cirrigera",1
667,2002,"Eurycea_cirrigera",1
667,2002,"Hyla_squirella",2
667,2002,"Hyla_squirella",2
667,2002,"Eurycea_chamberlaini",2
667,2002,"Eurycea_chamberlaini",2
667,2002,"Pseudacris_crucifer",3
667,2002,"Pseudacris_crucifer",3
667,2002,"Lithobates_catesbieana",3
667,2002,"Lithobates_catesbieana",3
667,2002,"Acris_gryllus",4
667,2002,"Acris_gryllus",4
667,2002,"Hyla_chrysoscelis",4
667,2002,"Hyla_chrysoscelis",4
667,2002,"Hyla_gratiosa",5
667,2002,"Hyla_gratiosa",5
667,2002,"Notophthalmus_viridescens",6
667,2002,"Notophthalmus_viridescens",6
667,2002,"Hyla_femoralis",6
667,2002,"Hyla_femoralis",6
667,2002,"Ambystoma_talpoideum",37
667,2002,"Ambystoma_talpoideum",37
667,2002,"Lithobates_sphenocephalus",86
667,2002,"Lithobates_sphenocephalus",86
667,2002,"Lithobates_clamitans",172
667,2002,"Lithobates_clamitans",172
667,2002,"Scaphiopus_holbrooki",187
667,2002,"Scaphiopus_holbrooki",187
667,2002,"Gastrophryne_carolinensis",506
667,2002,"Gastrophryne_carolinensis",506
667,2002,"Anaxyrus_terrestris",968
667,2002,"Anaxyrus_terrestris",968
668,2002,"Pseudacris_crucifer",1
668,2002,"Pseudacris_crucifer",1
668,2002,"Pseudacris_nigrita",1
668,2002,"Pseudacris_nigrita",1
668,2002,"Hyla_femoralis",2
668,2002,"Hyla_femoralis",2
668,2002,"Eurycea_cirrigera",2
668,2002,"Eurycea_cirrigera",2
668,2002,"Hyla_chrysoscelis",2
